city,osm_type,osm_id,name,address,phone,email,website
Esfahan,node,4703545941,طراحی و اجرای دکوراسیون امید,,,,
Esfahan,node,6857954588,دیزل ست,,+98 913 167 5221,,
Esfahan,node,6857954590,بوتیک کوچولوها,,+98 31 3748 8934 ext. 1735,,
Esfahan,node,6857954605,Diesel set فروشگاه لباس,,+98 937 687 7080,,
Esfahan,node,10908364857,لباس کار,,+983137252413,,
Esfahan,node,12615190188,رینگ و لاستیک کیان,"نجات بخش, بهاران",09131865156,,
Esfahan,node,12753225107,سوپر گوشت ممتاز,,0۳۱۳۷۴۴۳۱۱۲,,
Esfahan,node,12990502088,فرش دستبافت حبیب‌اللهی,,09133387107,,
Esfahan,node,13103657105,لوله‌ اتصالات وابزار آلات‌ کوروش,,03137258099,,
Esfahan,node,3232005865,هفت نگین,,,,
Esfahan,node,3232006389,آتایار,,,,
Esfahan,node,3523996808,افرا درب سلماس,,,,
Esfahan,node,3544458023,نانوایی سنگک,,,,
Esfahan,node,3544676444,هایپراستار,,,,
Esfahan,node,4120857289,خدمات کامپیوتر و موبایل پرنیا,,,,
Esfahan,node,4369857291,نانوایی,,,,
Esfahan,node,4369857491,خشکه پزی,,,,
Esfahan,node,4397036195,تعمیرگاه و تعویض روغنی,,,,
Esfahan,node,4397037896,شیرینی سرا و کافی شاپ مویز,,,,
Esfahan,node,4397040390,پیتزا پیتزا,,,,
Esfahan,node,4397040491,فست فود کندو,,,,
Esfahan,node,4397040492,دومینو,,,,
Esfahan,node,4397040592,بریانی,,,,
Esfahan,node,4397043492,فلافل فلفل نمکی,,,,
Esfahan,node,4397044489,سوپرمارکت,,,,
Esfahan,node,4397044589,میوه و سبزی عمو,,,,
Esfahan,node,4397044690,روزنامه فروشی,,,,
Esfahan,node,4397066689,رستوران جردن,,,,
Esfahan,node,4397066697,جوجه کباب پاپریکا,,,,
Esfahan,node,4409359930,غذای خانگی سما,,,,
Esfahan,node,4409399118,خشکشویی گلها,,,,
Esfahan,node,4438512190,میوه فروشی,,,,
Esfahan,node,4438519689,مجتمع تجاری اداری مهتاب,,,,
Esfahan,node,4691629290,نانوایی,,,,
Esfahan,node,4781113022,رستوران دیوان,,,,
Esfahan,node,4879033322,بازی دراز,,,,
Esfahan,node,4879046021,کبابی و بریانی,,,,
Esfahan,node,5180261822,تیمچه,,,,
Esfahan,node,5208041226,شیرینی سرای ماه نوش,,,,
Esfahan,node,5224608807,گوشت و مرغ امیر,,+98 31 3651 1446,,
Esfahan,node,5395510565,کافه و رستوران سنتی راحیل,,,,
Esfahan,node,5679539250,حلیم و آش تهران,,,,
Esfahan,node,5956499186,دومینو,,,,
Esfahan,node,5956529585,سورن,,,,
Esfahan,node,6677585897,طلا و جواهری ارکیده,,,,
Esfahan,node,6857950421,بادی اسپینر,,+98 31 3651 7884,,
Esfahan,node,6857950484,سالیان,,+98 31 3651 6845,,
Esfahan,node,6857954622,فروشگاه لباس زیر مایسا,,+98 905 942 2495,,
Esfahan,node,6918714077,رستوران vip,,+98 31 3655 0400,,https://vip-restaurant.ir/
Esfahan,node,6918714078,نمایندگی پوشاک لوتوس,,,,https://www.digikala.com/seller/90522/
Esfahan,node,7276044955,فروشگاه برنج سرزمین سبز,"غدیر, اصفهان",+98 913 161 0295,me.esfahanian@gmail.com,
Esfahan,node,7832909792,درسا,,+98 99927584180;+98 99927584178,,https://www.dorsa.net
Esfahan,node,8597797317,سوپر ماهان-اسماعیلی,شاهد,+98 31 3650 9220,,
Esfahan,node,8597879417,سوپر چیچال-بیژنی,شاهد,,,
Esfahan,node,8597946417,سوپر همشهری-بهروری,توحید غربی-رازی,+98 922 304 1448,,
Esfahan,node,8598022817,سوپر هانی-جعفری,توحید غربی-رازی,+98 31 3653 2893,,
Esfahan,node,8598352017,سوپر کاکتوس-قربانی,توحید غربی-رازی,+98 938 302 8881,,
Esfahan,node,8598352117,سوپر توحید,توحید,+98 913 118 9144,,
Esfahan,node,8598736219,سوپر نمونه-توکلی,میدان توحید,+98 31 3653 2688,,
Esfahan,node,8598736220,سوپر بهار-علی نقی یا افشاری,میدان توحید,+98 31 3653 2838,,
Esfahan,node,8675450517,لبنیات خانواده-ناظمی,,+98 913 037 7767,,
Esfahan,node,8675571117,پروتئین,,,,
Esfahan,node,8675681518,ابطحی-لبنیات ابطحی,,,,
Esfahan,node,9552433847,گالری مبلمان خانه پارسا,,+98 31 3655 0051,Parsahome.co@gmail.com,https://www.parsahome.co
Esfahan,node,9552433849,ژانسه,,+98 31 3655 0226,ram.a7x@gmail.com,https://janseh.ir
Esfahan,node,9785322295,رستوران شایگان,,,,
Esfahan,node,10246301009,سایپا یدک اردشیرعباسی عاملیت ۱۶۸۶۰,"شاهد, اصفهان",+98 31 3651 9931,,
Esfahan,node,11038572136,سوپر پاسارگاد,,,,
Esfahan,node,11038607313,موبایل آخر,,,,
Esfahan,node,11038607314,نوشت‌افزار احسان,,,,
Esfahan,node,11038607315,هات داگ سیتی,,,,
Esfahan,node,11038607316,سوپر سپاهان,,,,
Esfahan,node,11038607317,آرایشی بهداشتی سیب,,,,
Esfahan,node,11038607318,ظروف یکبارمصرف یکتا,,,Kvahid53@gmail.com,
Esfahan,node,11533109531,asavarzesh,,+989132086097,,https://www.asavarzesh.ir/
Esfahan,node,11543802907,قهوه هرکول شعبه 2,"میدان توحید سپاهان شهر, اصفهان",09134038570,,
Esfahan,node,12032085950,فلافل عاموچی,,۰۳۱۳۶۵۰۹۲۳۲,,
Esfahan,node,12230569094,قالیشویی تمام اتوماتیک زیبا,,03133331010,,
Esfahan,node,12525721864,نمایندگی کفش سالامون,,09132066243,,
Esfahan,node,12525725156,نوشت افزار غدیر,,,,
Esfahan,node,12525725158,دفتر فنی غدیر,,,,
Esfahan,node,12525725159,نان فانتزی فدک,,,,
Esfahan,node,12525725160,فروشگاه کنسول بازی,,,,
Esfahan,node,12525725161,ساعت تیک تاک,,,,
Esfahan,node,12525725164,قهوه وان,,,,
Esfahan,node,12525725166,فروشگاه حسینی(نمایندگی لورچ و بوتان),,,,
Esfahan,node,12525725167,کافه قهوه 13,,+98 31 3650 9421,,
Esfahan,node,12525725168,دکوراسیون داخلی کاخ,,+98 31 3651 4844,,
Esfahan,node,12525725169,هایپر سلامت گیاهدانه,,,,
Esfahan,node,12525725170,جانبی موبایل پارس تل,,,,
Esfahan,node,12525725178,قهوه,,,,
Esfahan,node,12525725179,سوپرمارکت کوهرنگ,,,,
Esfahan,node,12525725180,لوازم تحریر و گرافیک پاسارگاد,,,,
Esfahan,node,12525725181,موبایل و لوازم جانبی,,,,
Esfahan,node,12525725183,گوشت,,,,
Esfahan,node,12525725186,قهوه و دخانیات,,,,
Esfahan,node,12525725187,کافه شیراز,,,,
Esfahan,node,12525725188,پوشاک کودک,,,,
Esfahan,node,12525725189,لوتزم خانگی,,,,
Esfahan,node,12827797144,سپاهان سیکلت آذری,"غدیر, اصفهان",03136509175,,
Esfahan,node,12829846276,جین وست Jeanswest,,03191012365,,
Esfahan,way,194432899,سیتی سنتر اصفهان,,,,https://www.isfahancitycenter.com/
Esfahan,way,317184069,فروشگاه زنجیره ای کوثر,,,,
Esfahan,way,317185072,مجتمع نگین نقش جهان,,,,
Esfahan,node,4409431801,شرکت کشت و دامداری فکا,,,,
Esfahan,node,7262873708,فروشندگی نفت و گاز سفید حیدری مرغ,,,,
Esfahan,node,8234194517,رستوران پارسیان,,,,
Esfahan,node,10001395536,رستوران آناهید,,,,
Esfahan,node,11583885662,کافه رستوران رابو لانژ,,,,
Esfahan,node,12620158343,فروشگاه کاشی سرامیک آرمان یزد,,,,
Esfahan,node,12870945050,باطری سازی سراج,,,,
Esfahan,way,213549621,نمایندگی ایران خودرو کد ۲۰۶۰,,+983136546060,,
Esfahan,way,213550436,نمایندگی ایران خودرو ۲۰۸۰,,,,
Esfahan,node,7655443383,الکتروشرق,,983138683233,,
Esfahan,node,8637453917,سوپر,,,,
Esfahan,node,12550432391,ونک الکترونیک,,,,
Esfahan,node,12747886394,مکانیکی زیربندسازی سروش,,۰۹۱۳۴۱۳۶۷۲۰,,
Esfahan,node,12791414805,مصنوعات چوبی برهانی,,,,
Esfahan,node,4202424773,سوپر مارکت ابریشم,,,,
Esfahan,node,4202424774,,,,,
Esfahan,node,4202424775,نانوایی بربری,,,,
Esfahan,node,4202424776,نانوایی لواش,,,,
Esfahan,node,4203816189,فروشگاه کوثر شهر ابریشم,,,,
Esfahan,node,4419501199,تعمیرات CNG خودرو,,,,
Esfahan,node,4472161289,مسجد جامع جولرستان,شهید مطهری,,,
Esfahan,node,4604254295,باغ رستوران یلدا,نواب صفوی,,,
Esfahan,node,4641757289,باغ تالار طلائیه اصفهان,آزاد راه ذوب آهن,,,
Esfahan,node,5130509336,فود لند,,,,
Esfahan,node,6119523087,,,,,
Esfahan,node,7417185170,پرس شیلنگ آریا,,,,
Esfahan,node,7800628331,تکنو دیزل  اکبری,,09132262838,,
Esfahan,node,7826177038,فروشگاه چین لودر,"آزادراه ذوب آهن, کرسگان",,,
