city,osm_type,osm_id,name,address,phone,email,website
Fars,node,4293151667,ایران خودرو,,,,
Fars,node,5367736215,رستوران قائم,,,,
Fars,node,5367736332,معاینه فنی کنگان,,,,
Fars,node,5759672916,cng,گلزار,,,
Fars,node,5800681253,بازار ماهی فروشان,بلوار شهدای خلیج فارس,,,
Fars,node,5800681354,سیتی سنتر,خیابان وحدت,,,
Fars,node,6171391285,مرکز خرید مروارید,,,,
Fars,node,7346081043,هایپر شکلات,,,,
Fars,node,7348252156,عطاری برادران سالمی,میدان بهشتی,,,
Fars,node,7348252157,مرغ و گوشت جزیره,میدان بهشتی,,,
Fars,node,7348252158,سالن عروس تک,,,,
Fars,node,7348252160,لوازم خانگی یوسفی,خیابان وحدت,,,
Fars,node,7348252161,لوازم خانگی عرب نژاد,خیابان وحدت,,,
Fars,node,7348252164,طلافروشی ماهان,میدان بهشتی,,,
Fars,node,7348252166,عمده فروشی مواد غذایی خارجی عصفوری,,,,
Fars,node,7348252174,مبلمان اداری ونوس,,,,
Fars,node,7348252175,مجتمع تعمیرگاهی خلیج فارس فرشید احمدی,,,,
Fars,node,7348252176,درب برقی بحرینی,,,,
Fars,node,7348252180,شیرینی سرای تبریزی,,,,
Fars,node,7348252181,رستوران زيتون,,,,
Fars,node,7348252184,نمایندگی ایران خودرو,,,,
Fars,node,7348308585,شرکت تعاونی پرتو صنعت کنگان,,,,
Fars,node,8203352306,بازار ماهی فروشان,,,,
Fars,node,10027516235,اتصالات کنگان کیش,,,,
Fars,node,11657970269,لیالی لبنان (lailylobnan),,09027220207,,
Fars,node,12076680691,هایپر فامیلی,,,,
Fars,node,12157253965,تکنو فولاد کاسپین,"بلوار امام خمینی, نخل غانم",09173709474,,
Fars,node,12201162978,لوازم یدکی آذرخش,,,,
Fars,node,12550793453,شاورما مغربی,"بلوار امام رو به رو خیابان وحدت کنار داروخانه حاجیانی, بندر کنگان",09007627717,,
Fars,node,3985745181,پاساژ مروارید,,,,
Fars,node,3986614690,موبایل جام جم,,,,
Fars,node,3987568493,فروشگاه مواد غذایی گلها,,,,
Fars,node,3987568495,مرکز خرید بزرگ پردیس,,,,
Fars,node,3987568497,آژانس هواپیمایی عقاب سیر,,,,
Fars,node,3987568500,ویدئو کلوب پارت,,,,
Fars,node,3987568504,پاساژ زیتون,,,,
Fars,node,3987568505,پیتزا پارک,,,,
Fars,node,3988483413,رستوران صوفی,,,,
Fars,node,4293129201,بازارچه شهرک توحید جم,,,,
Fars,node,4426056189,می کده,فرهنگسرا,,,
Fars,node,4442417689,محصولات فرهنگی پارت,خیابان شیخ محمد تقی راستین,,,
Fars,node,4443918389,تعاونی پارس جنوبی,,,,
Fars,node,4664860489,شرکت آریا,,,,
Fars,node,4739414421,شهروند,,,,
Fars,node,4884976923,سر آشپز,,,,
Fars,node,4984329424,مرکز کامپیوتر روز,,,,
Fars,node,6024082388,,,,,
Fars,node,6024082416,نمایندگی ایران خودرو,,,,
Fars,node,6024082417,,,,,
Fars,node,6024082418,,,,,
Fars,node,6024082419,,,,,
Fars,node,6024082420,,,,,
Fars,node,6024082424,,,,,
Fars,node,6264288586,,,,,
Fars,node,6266225985,,,,,
Fars,node,6267149885,فست فود زو زو,,,,
Fars,node,6290630687,,,,,
Fars,node,6294311897,,,,,
Fars,node,6389405293,کافه سپنج,"خیابان رازی, 009876",+98 76 4462 7963,,
Fars,node,6389405414,شانار,"بلوار ولی عصر, +9876",,,
Fars,node,6790475485,مجتمع تمیرگاهی خودرو,,,,
Fars,node,6816876595,,,,,
Fars,node,6918870286,رستوران شب نشین,بلوار امام,,,
Fars,node,7292663727,کافه ناین,,+98 912 948 3916,,
Fars,node,8173894642,بازار ماهی فروشان,,,,
Fars,node,8190129499,تعمیرگاه حمل و نقل پارس جنوبی,,,,
Fars,node,8195941231,رستوران مهمانسرا,,,,
Fars,node,8202519425,بزرگ شهر,,,,
Fars,node,8330003612,مجتمع نان,,,,
Fars,node,8330075246,گاراژ علی رضا رفیعی(عقاب افشان,,,,
Fars,node,8330159456,سوپرمارکت جهان,,,,
Fars,node,8346315162,سفره خانه شو نشین,,,,
Fars,node,8346315167,جوشکاری برتر,,,,
Fars,node,8346315181,اداره محیط زیست,,,,
Fars,node,8346351147,هایپرمارکت شهروند,,,,
Fars,node,8346353120,رستوران جم نشین,,,,
Fars,node,8349291170,مرغداری بیدخوار,,,,
Fars,node,8353852737,سنگکی,,,,
Fars,node,8353852739,شیرینی فروشی کردستان,,,,
Fars,node,8353852740,مارک,,,,
Fars,node,8353899995,کافه سالادو,,,,
Fars,node,8354161237,لوازم ورزشی الکلاسیکو,,,,
Fars,node,8354161248,نوشت ابزار پرسپولیس,,,,
Fars,node,8354161254,تره باری شنبه الماسی,,,,
Fars,node,8356872015,پاساژ ستاره,,,,
Fars,node,8356872016,مرکز خرید امام رضا,,,,
Fars,node,8356907321,شیرینی فروشی سفیر,,,,
Fars,node,8376097494,مجموعه رفاهی شهید تندگویان,,,,
Fars,node,8420956287,مجتمع آفتاب,,,,
Fars,node,8539713718,شاورما شب‌نشین,,,,
Fars,node,9023029606,عطاری الپی,"خیابان رازی, کوشکنار",+989393615808,attarialpi@gmail.com,https://instagram.com/attari_alpi
Fars,node,9023512685,پلاستیک فروشی احمدیان,,+98 917 692 1949,,
