city,osm_type,osm_id,name,address,phone,email,website
Gilan,node,9949382219,Market,,,,
Gilan,node,9949405918,Market,,,,
Gilan,way,1322736399,Kids World Gjilan,"Xhozef Bajden III, Gjilan, 60000",+38344228100,,https://www.facebook.com/kidsworldgjilan
Gilan,node,9949410520,,,,,
Gilan,node,11110381405,Midea Klima,,,,
Gilan,node,9949427820,,,,,
Gilan,node,9949436718,,,,,
Gilan,node,4764889221,Pastruesi,,080080888,,
Gilan,node,11104902405,Market,,,,
Gilan,node,5282527021,Auto Service Bilalli,,,,
Gilan,node,6150641298,Restaurant Astoria,,,,
Gilan,node,7997319080,Premium Pizza,"Arben Isufi, Gjilan, 60000",+383 44 398 058,,
Gilan,node,9949406118,,,,,
Gilan,node,9950759717,Elektro ONE,,,,
Gilan,node,9950760817,Bum Market,,,,
Gilan,node,11104902305,Market,,,,
Gilan,node,11110380305,Adi Design,,,,
Gilan,node,11110385705,Katana,,,,
Gilan,way,460153491,Bujana,,,,
Gilan,way,650598604,Ngrohja,,,,
Gilan,way,728996179,Shop Bujana,,,,
Gilan,way,728996181,Shaqa,,,,
Gilan,way,1210945427,Shaqa,,,,
Gilan,node,4558453286,Migena,,,,
Gilan,node,4558532335,Vlera,,,,
Gilan,node,4558541590,Bardha,,,,
Gilan,node,4558829324,Art Cafe,,,,
Gilan,node,4558829325,Furra Pashtriku,,,,
Gilan,node,4558829326,Diti,,,,
Gilan,node,4559796052,"Frizer ""BENI""",,,,
Gilan,node,4559796057,Celi,,,,
Gilan,node,4559796386,Arisi,,,,
Gilan,node,4559799373,"""VEBA""",,,,
Gilan,node,4559799868,Mina,,,,
Gilan,node,4559802767,"""Antika""",,,,
Gilan,node,4559808142,"Furra ""PERPARIMI""",,,,
Gilan,node,4559815795,"""Rinori""",,,,
Gilan,node,4559833973,Almi,,,,
Gilan,node,4559841895,Astriti,,,,
Gilan,node,4559848946,"Qebaptore ""Beli""","Xheladin Kurbaliu III, Gjilan, 60000",,,
Gilan,node,4559849730,"Market ""BUMI""","Xheladin Kurbaliu, Gjilan",,,
Gilan,node,4559873934,Arbëria,,,,
