city,osm_type,osm_id,name,address,phone,email,website
Hormozgan,node,340007727,Food court,,,,
Hormozgan,node,574351639,Afghan Kabab House,,,,
Hormozgan,node,574351643,Bayt Al Baghdadi,,,,
Hormozgan,node,639534185,Carrefour,,,,
Hormozgan,node,641812236,,,,,
Hormozgan,node,641812240,Pizza Hut,,,,
Hormozgan,node,645067445,Krispy Kreme,,,,
Hormozgan,node,648119006,Qantarah Restaurant,25 Street,,,
Hormozgan,node,648119007,King's Biryani,,,,
Hormozgan,node,648119008,Ocean Coast Car Care,,,,
Hormozgan,node,648119010,Jabal Lebnan,,,,
Hormozgan,node,728646081,Atlas Mall,,,,
Hormozgan,node,736822491,,,,,
Hormozgan,node,926013290,Yasir Car Services Centre,,,,
Hormozgan,node,942927412,Carrefour,,,,
Hormozgan,node,988933895,Nine Town Hypermarket,,,,
Hormozgan,node,1002493894,Golden Sands,,,,
Hormozgan,node,1002495444,Kumarakam,,,,
Hormozgan,node,1108917892,Lulu Hypermarket,,,,
Hormozgan,node,1114639267,Sunrise City Super Market,,,,
Hormozgan,node,1114639424,Families Supermarket,,,,
Hormozgan,node,1114639638,Adukkala restaurant,,,,
Hormozgan,node,1114641457,Spinneys Super Market,,,,
Hormozgan,node,1117382285,NK Hypermarket,,,,
Hormozgan,node,1119021422,Samsung Service Centre,,,,
Hormozgan,node,1175480463,Subway,,,,
Hormozgan,node,1175480489,Burger King,Oud Metha Road,,,
Hormozgan,node,1175480496,Subway,,,,
Hormozgan,node,1175481147,,,,,
Hormozgan,node,1175481152,,,,,
Hormozgan,node,1187528951,Bur Dubai Market,,,,
Hormozgan,node,1187528962,Carrefour,Al ghubaiba road,,,
Hormozgan,node,1267691908,Al Jasim Laundry,,,,
Hormozgan,node,1267692012,Al Zahra Gents Saloon,,,,
Hormozgan,node,1267692077,Park View,,,,
Hormozgan,node,1267692191,Nawaes Al Madina,26 Street,,,
Hormozgan,node,1267692292,Alzwad Grocery,26 Street,,,
Hormozgan,node,1267692426,Palm Valley,,,,
Hormozgan,node,1267692534,West Zone,26 Street,,,
Hormozgan,node,1267692681,City Shoes,,,,
Hormozgan,node,1267692821,Dosa Plaza,,,,
Hormozgan,node,1267692874,Bombay Chowpaty,,,,
Hormozgan,node,1267692942,Anjappar,,,,
Hormozgan,node,1267693007,Chow King,,,,
Hormozgan,node,1267693082,Carrefour Express,,,,
Hormozgan,node,1267693346,Ahl Almandi,,042574448,,
Hormozgan,node,1267693375,Panoor,,,,
Hormozgan,node,1267693428,Nawaes Al Madina,,,,
Hormozgan,node,1274819470,Nawaes grocery,,,,
Hormozgan,node,1275858973,Green Valley Restaurant,,,,
Hormozgan,node,1275858975,Delhi Nahari Restaurant,Abu Mussa Al Ashari Street,,,
Hormozgan,node,1275858979,Al Shaleel Supermarket,,,,
Hormozgan,node,1276065094,Darussalam Bookstore,Sheikh Zayed Street,,,
Hormozgan,node,1276065100,KFC,,,,
Hormozgan,node,1276136214,Way In,Al Wahda Street,,,
Hormozgan,node,1276136242,Giordano,,,,
Hormozgan,node,1276136250,دجاج كنتاكي,Al Wahda Street,,,
Hormozgan,node,1276136269,French Palace Furniture,,,,
Hormozgan,node,1276136274,The Grand Buffet,,,,
Hormozgan,node,1276136298,Max,Al Wahda Street,,,
Hormozgan,node,1276136303,Carrefour,Al Wahda Street,,,
Hormozgan,node,1280228867,Toufic Furniture Company,,,,
Hormozgan,node,1280228870,Kia,,,,
Hormozgan,node,1282919541,New W Mart Supermarket,,,,
Hormozgan,node,1309266236,Kumarakom Restaurant,"Damascus street, 042205858, دبي",042205828,,www.kumarakomdubai.com
Hormozgan,node,1330397675,Nando's,"Sheikh Zayed Road, دبي",,,
Hormozgan,node,1338572888,Muwailaiha Sharjah,"residential, 104",,,
Hormozgan,node,1356219730,المايا سوبرماركت,"شارع 23, ahmad home",+97165300110,info@almaya.ae,https://almaya.ae
Hormozgan,node,1357667616,Al Madina,,,,
Hormozgan,node,1357685039,Manila Grocery,,,,
Hormozgan,node,1357687464,Hot Chillies,,,,
Hormozgan,node,1360316133,Al Qamar Laundry,,,,
Hormozgan,node,1360317491,Freedom Internet,,,,
Hormozgan,node,1361198228,Al Punjabi,,,,
Hormozgan,node,1361203152,Al Safeerah Ladies Salon,23 street,,,
Hormozgan,node,1368755176,Foodlands,,,,
Hormozgan,node,1368786495,Talal Supermarket,,,,
Hormozgan,node,1373685585,مهدي,,,,
Hormozgan,node,1373686871,Cleopatra Laundry,,,,
Hormozgan,node,1447891860,Al Arfaa Grocery,,,,
Hormozgan,node,1467809583,Choithram's Super Market,King Faisal Street,,,
Hormozgan,node,1467810412,Kia Motors,King Faisal Street,,,
Hormozgan,node,1467814106,Giant Super Market,,,,
Hormozgan,node,1503826781,Madras Vegetarian Restaurant,,,,
Hormozgan,node,1503827950,Southern Spice Restaurant,,,,
Hormozgan,node,1505047528,AL Wali Supermarket,,,,
Hormozgan,node,1505047532,Dubai Sun and Sand Travel and Tourism,,,,
Hormozgan,node,1505058311,Marhaba Studio,,,,
Hormozgan,node,1513884934,Panda Dry Cleaning,,,,
Hormozgan,node,1513943662,GoodBaby,,,,
Hormozgan,node,1513980156,Express flowers,,,,
Hormozgan,node,1514975981,Royal Scissors,,,,
Hormozgan,node,1514975982,,,,,
