city,osm_type,osm_id,name,address,phone,email,website
Kerman,node,3130818750,کافه عادل,,,,
Kerman,node,4119595389,الماس کنگ,,,,
Kerman,node,4268659392,هام هام,,,,
Kerman,node,4338865198,لوله و اتصالات,,,,
Kerman,node,4338908226,سوپر مارکت روستا,,,,
Kerman,node,4338978008,خیاطی زاهدی,خ هفده شهریور,,,
Kerman,node,4338979180,سوپرسید,,,,
Kerman,node,4338979188,کلید سازی سوناز,,,,
Kerman,node,4339391092,ارزان فروشی بحرپیما,,,,
Kerman,node,4339422689,سوپرمارکت دریاگذر,,,,
Kerman,node,4340026291,سوپرمارکت,,,,
Kerman,node,4343815690,نانوایی,,,,
Kerman,node,4343829289,پوشاک آتیش,,,,
Kerman,node,4343829589,پوشاک طوبی,خ طالقانی,,,
Kerman,node,4343829689,ساندویچی,خ شهید رجایی,,,
Kerman,node,4344212809,شرکت مبتکران ساحل(لنج سازی),,,,
Kerman,node,4344635689,پیتزا سفیر,بلوار امام,,,
Kerman,node,4590671994,بازار ماهی فروشان بندر کُنگ,,,,
Kerman,node,4592578192,ادویه فروشی جمعه,,+98 917 362 8614,,
Kerman,node,4592639389,نانوایی,,,,
Kerman,node,4592674094,هایپر مارکت نبی,,,,
Kerman,node,4592674894,نمایشگاه اتومبیل فولاد,,,,
Kerman,node,4678814360,دکه,,,,
Kerman,node,4679092518,,,,,
Kerman,node,4679092519,,,,,
Kerman,node,5495414821,میوه و سبزیجات,,,,
Kerman,node,5499458126,,,,,
Kerman,node,5742669697,سوپرمارکت یعقوبی,بستقلات,,,
Kerman,node,5742669698,سوپرمارکت فربودی,بستقلات,,,
Kerman,node,5742669699,سوپر مارکت قلاتی,بستقلات,,,
Kerman,node,5777470624,سون هایپر مارکت,,,,
Kerman,node,5777470625,فروشگاه مرکزی گوده,,,,
Kerman,node,5803004070,بازار ماهی فروشان,,,,
Kerman,node,6052328092,باغ کاکو,,,,
Kerman,node,6167540307,Restaurant,,,,
Kerman,node,6167540613,Supermarket,,,,
Kerman,node,6197250204,سوپر ماکت یاسین,,,,
Kerman,node,6197250205,تعاونی مسافربری,,,,
Kerman,node,6197250206,نانوایی لواش معماری,,,,
Kerman,node,6197250211,سوپر مارکت شهروند,بستک,,,
Kerman,node,6197250212,تزئینات خودرو,,,,
Kerman,node,6197250215,سایپا,,,,
Kerman,node,6197250216,رنگ فروشی,,,,
Kerman,node,6263177989,دانیال اسپورت,آیت ا... خامنه ای,+98 917 764 0136,,
Kerman,node,6627098187,رستوران بهونه,,,,
Kerman,node,6639636469,فروشگاه شبانه روزی ولیعصر,,,,
Kerman,node,6639672503,رستوران ایران زمین,,,,
Kerman,node,6639745184,نانوایی ارمکان,,,,
Kerman,node,6639801296,میوه فروشی محمدیان,,,,
Kerman,node,6639886541,,,,,
Kerman,node,6680915380,سوپر مارکت نوروزی,"معلم سوم, بندر لنگه",,,
