city,osm_type,osm_id,name,address,phone,email,website
Khorasan Razavi,node,6373451636,small shop,,,,
Khorasan Razavi,node,6373451637,سوپر مارکت علی پور,,,,
Khorasan Razavi,node,6373452043,prayer room,,,,
Khorasan Razavi,node,6373452044,نانوایی احمدی,,,,
Khorasan Razavi,node,11363924742,نانوایی سنگک,,,,
Khorasan Razavi,node,11363924743,تعمیرگاه اتومبیل ایلخانی,,,,
Khorasan Razavi,node,11363924762,رستوران امیران,,,,
Khorasan Razavi,node,11366105625,تعمیرگاه اتومبیل مرادیان,,,,
Khorasan Razavi,node,11368362371,کافه عمارت,,,,
Khorasan Razavi,node,11368362372,نانوایی,,,,
Khorasan Razavi,node,11368362374,برق خودرو کرابیه,,,,
Khorasan Razavi,node,11368362375,برق خودرو احمدی,,,,
Khorasan Razavi,node,11368362378,کافه بیلیارد فرامرز,,,,
Khorasan Razavi,node,11368362379,نانوایی سید,,,,
Khorasan Razavi,node,11368373628,خانه سنتی باقری,,,,
Khorasan Razavi,node,11368373629,کافه پیپ,,,,
Khorasan Razavi,node,11368388346,فروشگاه مواد غذایی لبخند,,,,
Khorasan Razavi,node,11368409725,فروشگاه مواد قضایی کورش,,,,
Khorasan Razavi,node,11368826161,فروشگاه مواد غذایی سامان,,,,
Khorasan Razavi,node,11369538153,نانوایی,,,,
Khorasan Razavi,node,11384191522,ساندویچی جواد,,,,
Khorasan Razavi,node,11400103727,کافه تایم,,,,
Khorasan Razavi,node,11413069068,عکاسی ایران زمین,,,,
Khorasan Razavi,node,11413101454,تعویض روغن یوسفی,,,,
Khorasan Razavi,node,11569919623,ابزار فروشی فرخ,,,,
Khorasan Razavi,node,11569919624,ابزار فروشی,,,,
Khorasan Razavi,node,1393725009,علی پرست,خیابان بامداد,,,
Khorasan Razavi,node,1393736562,,,,,
Khorasan Razavi,node,1393736568,,,,,
Khorasan Razavi,node,1393736586,,,,,
Khorasan Razavi,node,1393736592,,,,,
Khorasan Razavi,node,1393739801,سوپر مارکت و رستوران امین,,,,
Khorasan Razavi,node,1393750162,,,,,
Khorasan Razavi,node,1393750163,فروشگاه منسوجات فردوس,,,,
Khorasan Razavi,node,2287031823,حاتم,,,,
Khorasan Razavi,node,2287045230,,,,,
