city,osm_type,osm_id,name,address,phone,email,website
Mazandaran,node,2251179584,شیرینی فروشی نیشکر,,,,
Mazandaran,node,2309913748,سوپرمارکت دنیز,,,,
Mazandaran,node,2309913751,بازار علی,,,,
Mazandaran,node,2309913752,شیرینی فروشی بی بی,,,,
Mazandaran,node,2734977753,سوپرمارکت ولی عصر,,,,
Mazandaran,node,2734977756,فروشگاه آفتاب,,,,
Mazandaran,node,2734977767,ساندویچی آیدا,,,,
Mazandaran,node,3292015367,بربری (فانتزی - روغنی),,,,
Mazandaran,node,3292015368,,,,,
Mazandaran,node,3292015369,سوپرمارکت,,,,
Mazandaran,node,3292015370,هایپر مارکت خلیج فارس,,,,
Mazandaran,node,3292015392,تالار زیتون,"دهم شرقی قلم, کرج",,,
Mazandaran,node,3292019319,نانوایی سنگک,,,,
Mazandaran,node,3293076771,تالار عسل,,,,
Mazandaran,node,3293296448,فروشگاه زنجیره ای اميران شعبه میانجاده,,,,
Mazandaran,node,3293296450,فانوس,,,,
Mazandaran,node,3327157904,رنگ و ابزار,,,,
Mazandaran,node,3327157905,رنگ و ابزار,,,,
Mazandaran,node,3385450322,نمایندگی ایرانخودرو عزیزی۱۲۷۷,,+98 26 3430 8112,,azizi1277.ir
Mazandaran,node,3385450323,نمایندگی ۱۴۰۲ کرمان موتور,"بلوار پرستار, کرج",+98 26 343 22635;+98 26 343 33436,,
Mazandaran,node,3440331761,فست فود کیمیا,"چهارم رازقی, 355, کرج ، مهرشهر ، گلستان یکم","+98 26 334 06697 , +98 26 334 06497",,https://pizzakimiya.wix.com/pizzakimiya
Mazandaran,node,3611112891,,,,,
Mazandaran,node,3778877321,سوپرمارکت رحمانی,بلوار هوشیار,,,
Mazandaran,node,3818437681,تیما بال,,,,
Mazandaran,node,4209875589,تالار آبشار,,,,
Mazandaran,node,4232148605,تشک و چادر دوزی ماشین رنگارنگ,,,,
Mazandaran,node,4285650189,آرایشگاه خاتم,,,,
Mazandaran,node,4285650589,آرایشگاه نایس ,بلوار ظفر,,,
Mazandaran,node,4294308589,نان بربری پارسا,بلوار انقلاب اسلامی,,,
Mazandaran,node,4317398092,نانوایی سنگکی,دوازدهم,,,
Mazandaran,node,4350427740,نان سبوس دار,,,,
Mazandaran,node,4363555490,کافه کارن,عطار,,,
Mazandaran,node,4368030599,تالار عمارت سروش,,,,
Mazandaran,node,4370814128,چلوکباب حاج عباس ۱,,,,
Mazandaran,node,4370817396,تالار رستوران رضا,,+982633503522,,
Mazandaran,node,4375265991,چلوکباب حاج عباس ۲,,,,
Mazandaran,node,4375325289,مرکز تجاری مهر,,,,
Mazandaran,node,4384764991,نانوایی بربری,,,,
Mazandaran,node,4384841289,مجتمع تجاری چلچلاس,,,,
Mazandaran,node,4387021513,مجتمع تجاری توسکا (پاسارگاد سابق),بنفشه,,,
Mazandaran,node,4423430389,رستوران گامنو,,,,
Mazandaran,node,4444070872,لوازم التحریر و خدمات فنی شکرستان,"مطهری شمالی, محمدشهر, 31846",+98 26 3630 6021,,
Mazandaran,node,4445754503,نانوایی بربری,,,,
Mazandaran,node,4500003089,تیونینگ خودرو,بلوار امام صادق,+98 912 363 7519,MehdiMirzae@live.com,
Mazandaran,node,4557147098,یاقوت,,,,
Mazandaran,node,4587452992,پیتزا مهتاب,,,,
Mazandaran,node,4587474691,سوپر مارکت و سوپر میوه آسمان,"آسمان, مهستان",,,
Mazandaran,node,4595588691,فروشگاه امیران,,,,
Mazandaran,node,4595638789,مارینا مارکت,,,,
Mazandaran,node,4603512289,آژانس کنعان,شهرداری,,,
Mazandaran,node,4688699289,پیچ و رولپلاک سنگ نما ، پیچ کردن سنگ نما,"البرز کرج خرمدشت میثم۳, 09308877798",+98 930 887 7798,onaeimo7@gmail.com,http://ertefakaran.blogfa.com
Mazandaran,node,4688699389,پیچ و رولپلاک سنگ نما در کرج,,+989308877798,onaeimo7@gmail.com,http://ertefayekta.blogfa.com
Mazandaran,node,4690834404,فروشگاه امیران,,,,
Mazandaran,node,4690834405,هایپر برتر,,+98 26 3435 2611,,
Mazandaran,node,4695040291,شومینه و باربیکیو امیر,بلوار یادگار امام بین بلال ۲و۳,,ae88qi2008@gmail.com,
Mazandaran,node,4716998094,کامپیوتر سریر,شهید خوئینی,+98 910 206 5878,sarirpc1@gmail.com,
Mazandaran,node,4769070928,نانوایی تافتون,,,,
Mazandaran,node,4794153189,گل مینیاتور,,,,
Mazandaran,node,4794153192,,,,,
