city,osm_type,osm_id,name,address,phone,email,website
North Khorasan,node,3501000619,,,,,
North Khorasan,node,9679803139,موبایل سیگنال,خیابان طالقانی,+989360060323,,
North Khorasan,node,12759595849,دامداری حسن فریمانه,"روستای ابویسان, خراسان رضوی",09156902584,,
North Khorasan,node,12870893925,طلافروشی مجید,,,,
North Khorasan,node,6453321387,شفق رایانه جوین,امام رضا,+985145220620,mottahhar@gmail.com,
North Khorasan,node,9307847512,سوپر مارکت مهر,,,,
North Khorasan,node,9307847513,نانوایی حسن عباسی,,,,
North Khorasan,node,9307847514,دوچرخه المپیا,,,,
North Khorasan,node,9307847515,روغن کنجد جوین,,,,
North Khorasan,node,9307847516,برنج سردار,,09364054946,amirsardar9930@gmail.com,
North Khorasan,node,9307936717,پوشاک سردار,,,,
North Khorasan,node,9307936718,گیم سنتر سردار,,,,
North Khorasan,node,9307936719,پیرایشگاه ریش و قیچی,,,,
North Khorasan,node,9307936724,نمایندگی ایران خودرو,,,,
North Khorasan,node,9307936725,رستوران سی گل,,,,
North Khorasan,node,9307936728,نمایشگاه اتومبیل ملت,,,,
North Khorasan,node,9307956402,عایق پنجره عطاملک,,,,
North Khorasan,node,9307956404,رستوران پدیده,,,,
North Khorasan,node,9307957496,پروتئین مروارید,,,,
North Khorasan,node,9307957497,نمایشگاه اتومبیل یزدان,,,,
North Khorasan,node,9307957499,نمایشگاه اتومبیل عدالت,,,,
North Khorasan,node,9307957500,نمایشگاه اتومبیل مهرداد,,,,
North Khorasan,node,9307957501,نمایشگاه اتومبیل سعید,,,,
North Khorasan,node,9307995884,پنجره عایق پردیس,,,,
North Khorasan,node,9307995885,در و پنجره ساوین,,,,
North Khorasan,node,9307995886,چاپ مهر,,,,
North Khorasan,node,9307995887,لاستیک ممتاز,,,,
North Khorasan,node,9307995895,لاستیک زورآبادی,,,,
North Khorasan,node,9307995898,چاپ بنر پارس لیزر,,,,
North Khorasan,node,9307995899,کبابی زیر آسمان شهر,,,,
North Khorasan,node,9307995901,قنادی تمشک,,,,
North Khorasan,node,9307995902,اتومبیل شمس,,,,
North Khorasan,node,9308012211,جوین پلاست,,,,
North Khorasan,node,9308012212,لوازم خانگی رهام سنتر,,,,
North Khorasan,node,9308012213,کافه تریا کاکتوس,,,,
North Khorasan,node,9308012216,موتور سیکلت جوین,,,,
North Khorasan,node,9308018795,عکاسی آلاله,,,,
North Khorasan,node,9308018796,طلا و جواهر صدف,,,,
North Khorasan,node,9308018797,پرده تهران مدرن,,,,
