city,osm_type,osm_id,name,address,phone,email,website
Qom,node,4643874735,نانوایی سنگک ماشینی,شهید اقلیمی,,,
Qom,node,5174493825,Time cafe barbershop,بلوار شهروند,+98 9127516460,,
Qom,node,5179272723,یوسف,خیابان شهید مخلصی,,,
Qom,node,5179272725,آرایشگاه محمد,,,,
Qom,node,5179272727,نانوایی لواش,,,,
Qom,node,5179274322,تهیه غذایی مسجد حضرت زینب,,,,
Qom,node,5179274323,میوه فروشی,,,,
Qom,node,5179274324,سوپر مارکت,,,,
Qom,node,5179274325,نانوایی بربری,,,,
Qom,node,5955631387,,,,,
Qom,node,7288615540,هایپراستار,"بلوار الغدیر, قم",,,
Qom,node,7288663677,مایلی,"بلار الغدیر, قم",,,
Qom,node,7288719805,جین وست,,02591013269,,
Qom,node,9119207981,تجهیزات پزشکی سینا,خیابان شهید اقلیمی,,,
Qom,node,9742621235,موبایل موبیکال,,,,
Qom,node,10214653591,Pizza Rosha,"بلوار بهشت, قم",+982532801571,,
Qom,node,11066853640,لوازم حیوانات خانگی درنا,,,,
Qom,node,11350348888,عطاری صبری,"البرز ۱۹, قم",۰۹۹۱۸۶۰۷۸۰۱,,
Qom,node,11964353022,فروشگاه ایران ابزار,"سبلان ۲۲, قم",09198866717,,
Qom,node,12039739565,فروشگاه ژامک,"بلوار الغدیر, قم",,,
Qom,node,12121552218,پوشاک ساحل,,,,
Qom,node,12354224209,فروشگاه لباس کودک پاییز اسپرت,پردیسان بلوار مسلم خیابان ملک محمدی مجتمع تجاری پردیسان طبقه همکف پلاک 37,09395652770,,
Qom,node,12749031183,باغ رستوران اب و تاب,,09930615162,,
Qom,node,12791876383,Mr pizza,,+98 2532507007,,https://mrpizzaqom.ir
Qom,node,13064969800,فست فود افتو,,+982533558061,,
Qom,node,13108402441,کافه و رستوران کاتلیا,"بلوار الغدیر, قم",09009458505,,
Qom,way,352925222,مرکز تجاری پردیسان,,+98 25 3281 6319,,
Qom,way,731878880,افق کوروش,"ملت, پردیسان",,,
Qom,way,731884468,مغازه,,,,
Qom,way,780542010,بازار شهر,"بلوار الغدیر, قم",,,
Qom,node,4235246890,نانوایی سنگک,,,,
Qom,node,4260106791,سوپرمارکت اندرزگو,,,,
Qom,node,4328470718,کاشانی,چاده پردسان - ورحان,,,
Qom,node,4621727354,مشاور املاک مسکن سازان,,,,
Qom,node,4631687535,مجتمع تجاری پردیسان,میدان شهرداری,,,
