city,osm_type,osm_id,name,address,phone,email,website
Sistan and Baluchestan,node,5241028797,,,,,
Sistan and Baluchestan,node,7278836959,,,,,
Sistan and Baluchestan,node,7278841131,,,,,
Sistan and Baluchestan,node,7278845384,,,,,
Sistan and Baluchestan,node,7278849774,,,,,
Sistan and Baluchestan,node,7278850633,,,,,
Sistan and Baluchestan,node,7278851068,,,,,
Sistan and Baluchestan,node,7278854451,,,,,
Sistan and Baluchestan,node,7278854989,,,,,
Sistan and Baluchestan,node,7278855702,,,,,
Sistan and Baluchestan,node,7766964950,سوپر مارکت,,,,
Sistan and Baluchestan,node,8150714349,نانوایی,,,,
Sistan and Baluchestan,node,8293313172,,,,,
Sistan and Baluchestan,node,6372025934,,,,,
Sistan and Baluchestan,node,9689845687,shop,,,,
Sistan and Baluchestan,node,4526598692,رستوران تهرانی,,,,
Sistan and Baluchestan,node,4528759089,رستوران بلوچ,امام خمینی,,,
Sistan and Baluchestan,node,4540504095,رحمان,,+98 915 732 1484,,
Sistan and Baluchestan,node,4541422492,ستاره جنوب,"tis center, 325",+989159451912,,
Sistan and Baluchestan,node,4709616089,رستوران تهرانی,,,,
Sistan and Baluchestan,node,4718799789,صنایع الومینیوم پارسیان,"شهید خاچکی, 1",+989151954514,sadegh_bu20@yahoo.com,
Sistan and Baluchestan,node,4788481921,پرده سرای زینب,بلوار امام خمینی,+98 915 945 0787,abd.khojasteh@yahoo.com,
Sistan and Baluchestan,node,4831464122,رایانه علی بلوچ نیا,,,,
Sistan and Baluchestan,node,5159258622,ساندویچ و پیتزا نقش جهان,بلوار ساحلی,+98 54 3538 1218,,
Sistan and Baluchestan,node,5167186727,رستوران نقش جهان,بلوار ساحلی,+98 54 3538 4821,,
Sistan and Baluchestan,node,5508014221,خدمات برق خودرو رایان,,+989153475171,,
Sistan and Baluchestan,node,5663143722,فروشگاه رفاه چابهار,,,,
Sistan and Baluchestan,node,5685537723,رستوران دوبرا,بلوار امام خمینی,,,
Sistan and Baluchestan,node,5685569621,فست فود دوبرا,بلوار امام خمینی,,,
Sistan and Baluchestan,node,5868747182,نمایندگی ایران خودرو,,,,
Sistan and Baluchestan,node,6046599785,فروشگاه شهروندان,بلوار شهید ریگی,,,
Sistan and Baluchestan,node,6114106385,بازرگانی جدگال,"Cfz, 156",+989155455102,pasand5102@gmail.com,
Sistan and Baluchestan,node,6138215185,رستوران مکران,,,,
Sistan and Baluchestan,node,6138215285,کافی شاپ مکران,,,,
Sistan and Baluchestan,node,6275792985,رستوران غریب نواز,,,,
Sistan and Baluchestan,node,6277017286,رستوران ساحلی خلیج فارس,چابهار,,,
Sistan and Baluchestan,node,6371155589,رستوران غریب نواز و فجر,,,,
Sistan and Baluchestan,node,6372589239,رستوران جواهر چابهار,,,,
Sistan and Baluchestan,node,6389618685,لوازم خانگی ستاره جنوب,"منطقه ازاد, 325, 66473",+98 915 945 1912,irandasht10@gmail.com,https://t.me/starshop
Sistan and Baluchestan,node,6482050353,پارچه سرای حاجی داود,چابهار,,,
Sistan and Baluchestan,node,6515269288,چهارفصل,,,,
Sistan and Baluchestan,node,6871136586,لوازم آرایشی منور,"منطقه آزاد مجتمع تیس واحد ۳۲۳a, 1, 99717_66738",+98 54 3531 3697,,
Sistan and Baluchestan,node,7066754485,طباخی فجر,,,,
Sistan and Baluchestan,node,7066754585,طباخی فخر,,,,
Sistan and Baluchestan,node,7066754586,,,,,
Sistan and Baluchestan,node,7068529185,,,,,
Sistan and Baluchestan,node,7472439777,نمایشگاه اتومبیل برادران,,,,
Sistan and Baluchestan,node,7562567686,سوپر گوشت رزاق,بلوار امام خمینی,,,
Sistan and Baluchestan,node,7562593785,نان فانتزی گل گندم,,,,
