city,osm_type,osm_id,name,address,phone,email,website
South Khorasan,node,5400769534,رستوران فانوس کویر,,,,
South Khorasan,node,6221554885,,,,,
South Khorasan,node,6224837790,,,,,
South Khorasan,node,12121661741,گروه صنعتی جهان نما,"امام رضا, کرمان",,,
South Khorasan,node,1511453815,نانوایی,Khanook,,,
South Khorasan,node,4721452965,نانوایی,,,,
South Khorasan,node,4721866049,,,,,
South Khorasan,node,5901143569,مجتمع خدمات رفاهی اوج,,,,
South Khorasan,node,6389641542,تولیدی شیرینی امیری,"خیابان فلسطین, 3, زرند",+989136137583,,https://www.instagram.com/shirini.amiri/
South Khorasan,node,8721136187,مجتمع خدماتی رفاهی امام رضا,,,,
South Khorasan,node,10112008431,کامپیوتر و لپ تاپ ایرانمنش,,,,
South Khorasan,node,11016260047,نانوایی شماره 11,,,,
South Khorasan,node,11016319599,لوازم ارایشی ارکیده,,,,
South Khorasan,node,11016319600,بدلیجات پورمنش,,,,
South Khorasan,node,11083905781,خوار بار فروشی علی ابادی,,,,
South Khorasan,node,11084013113,رستوران ملی,,,,
South Khorasan,node,11084013114,ارایشگاه پسر,,,,
South Khorasan,node,11084013115,تعویض روغنی روحانی,,,,
South Khorasan,node,11084013116,فست فود سحر,,,,
South Khorasan,node,11084013121,لوازم خانگی عباسی,,,,
South Khorasan,node,11084013128,سوپر مارکت عزیزی,,,,
South Khorasan,node,11084013129,اگزوز سازی علی,,,,
South Khorasan,node,11084013130,فروشگاه رفاه,,,,
South Khorasan,node,11084013131,دخانیات ارگ,,,,
South Khorasan,node,11084013132,قهوه سرای مجید,,,,
South Khorasan,node,11084013133,مرغ و ماهی ساحل,,,,
South Khorasan,node,11084013137,چاپ نقش اذین,,,,
South Khorasan,node,11084013138,لوازم خانگی رستمی,,,,
South Khorasan,node,11084013139,کالای برق رسول,,,,
South Khorasan,node,11084013141,تعمیرگاه موبایل اژدری,,,,
South Khorasan,node,11084013142,فروشگاه نورالهی,,,,
South Khorasan,node,11084013145,سوپر مارکت پارسیان,,,,
South Khorasan,node,11084013153,پیتزا ساندویچ شهریار,,,,
South Khorasan,node,11084013154,ارایشی بهداشتی صدف,,,,
South Khorasan,node,11084013155,کادویی رنگارنگ,,,,
South Khorasan,node,11084013156,پیتزا ونوس,,,,
South Khorasan,node,11084013164,موبایل اورجینال,,,,
South Khorasan,node,11084013168,بوتیک کاج,,,,
South Khorasan,node,11084013171,چاپ دیجیتال قائم,,,,
South Khorasan,node,11288403024,فروشگاه مصالح ساختمانی ترکزاده,"بلوار امام علی, ده چنار",03433470016,,
South Khorasan,node,11453483576,باتری مرکزی بهشتی,,۰۹۱۳۱۴۱۹۴۸۱,,
South Khorasan,node,12273202260,اپل استور محمد,,,,
South Khorasan,node,12326995517,تعمیرگاه دیزلی دهقان,,09137061560,,
South Khorasan,node,12548016360,آریا بتن زرند,"جاده کوهبنان - زرند/خ صنعت 3, زرند",09131994200,,
South Khorasan,way,1037124179,تعمیرگاه آریا جنوب,,,,
South Khorasan,way,1041350175,,,,,
South Khorasan,way,1182518341,اسپرلوس,راور,,,
